state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ms,2008,lower,HB 1009,Miss Breland's Law; enhance penalty for certain crimes of theft and forgery.,2011-01-12 03:14:44.828000,2012-04-02 16:40:28.443000,bill,Judiciary
ms,2008,lower,HB 101,DFA; delete repealer on authority to assist agencies in debt collection from other agencies.,2011-01-12 03:14:40.691000,2012-04-02 16:40:21.065000,bill,Commerce
ms,2008,lower,HB 1010,Nonpublic school students; require school districts to provide transportation services.,2011-01-12 03:14:44.830000,2012-04-02 16:40:28.449000,bill,Commerce|Education
ms,2008,lower,HB 1011,"Hurricane Katrina; create joint legislative committee named ""Hurricane Katrina Response and Recovery Oversight Committee.""",2011-01-12 03:14:44.832000,2012-04-02 16:40:28.455000,bill,Commerce
ms,2008,lower,HB 1012,Graduate degree teacher incentive loans; establish for teachers agreeing to teach in public schools or IHLs.,2011-01-12 03:14:44.834000,2012-04-02 16:40:28.462000,bill,Commerce|Education
ms,2008,lower,HB 1013,"Medicaid; amend various provisions of law, and increase excise tax on cigarettes.",2011-01-12 03:14:44.840000,2012-04-02 16:40:28.470000,bill,"State Agencies|Health|Budget, Spending, and Taxes"
ms,2008,lower,HB 1014,Children's Health Insurance Program; transfer administration to Division of Medicaid.,2011-01-12 03:14:44.862000,2012-04-02 16:40:28.494000,bill,Commerce|Health
ms,2008,lower,HB 1015,Public defenders; create pilot project.,2011-01-12 03:14:44.869000,2012-04-02 16:40:28.504000,bill,Judiciary
ms,2008,lower,HB 1016,Office of State Auditor; make technical amendments to laws affecting.,2011-01-12 03:14:44.881000,2012-04-02 16:40:28.522000,bill,Commerce|Labor and Employment
ms,2008,lower,HB 1017,"Chancery and circuit judge; increase salaries of, office allowances and law clerk salaries.",2011-01-12 03:14:44.884000,2012-04-02 16:40:28.530000,bill,Commerce|State Agencies
ms,2008,lower,HB 1018,U.S. Highway 61; schedule as high priority four-laning of those segments not already scheduled otherwise.,2011-01-12 03:14:44.886000,2012-04-02 16:40:28.537000,bill,Commerce|Transportation
ms,2008,lower,HB 1019,Health insurance; remove reverter on provisions requiring reimbursement for services of marriage and family therapists.,2011-01-12 03:14:44.891000,2012-04-02 16:40:28.545000,bill,Insurance
ms,2008,lower,HB 102,Floral Transaction and Consumer Protection Act; create.,2011-01-12 03:14:40.693000,2012-04-02 16:40:21.073000,bill,Public Services
ms,2008,lower,HB 1020,Municipal law enforcement officers; provide minimum due process for.,2011-01-12 03:14:44.893000,2012-04-02 16:40:28.552000,bill,Judiciary|Municipal and County Issues
ms,2008,lower,HB 1021,Elections; statewide nonbinding referendum on limiting term of Speaker of House of Representatives.,2011-01-12 03:14:44.896000,2012-04-02 16:40:28.559000,bill,Campaign Finance and Election Issues
ms,2008,lower,HB 1022,Exceptional children; revise provisions relating to the education of.,2011-01-12 03:14:44.898000,2012-04-02 16:40:28.565000,bill,Education
ms,2008,lower,HB 1023,Health data registry; expand coverage of and revise provisions pertaining to.,2011-01-12 03:14:44.907000,2012-04-02 16:40:28.577000,bill,Health
ms,2008,lower,HB 1024,Law enforcement officers; require to be compensated.,2011-01-12 03:14:44.909000,2012-04-02 16:40:28.590000,bill,Commerce
ms,2008,lower,HB 1025,Insurance; require timely payment of property and casualty claims.,2011-01-12 03:14:44.912000,2012-04-02 16:40:28.596000,bill,Insurance
ms,2008,lower,HB 1026,Uniform laws; enact Uniform Premarital Agreement Act (ULC).,2011-01-12 03:14:44.913000,2012-04-02 16:40:28.602000,bill,Judiciary
ms,2008,lower,HB 1027,Uniform laws; enact Uniform Emergency Volunteer Healthcare Practitioners Act (ULC).,2011-01-12 03:14:44.915000,2012-04-02 16:40:28.608000,bill,Health
ms,2008,lower,HB 1028,Homeowner's Emergency Mortgage Assistance Program; establish.,2011-01-12 03:14:44.918000,2012-04-02 16:40:28.614000,bill,Business and Consumers
ms,2008,lower,HB 1029,Education Enhancement Fund; divert portion of classroom supply funds to State School Building Fund.,2011-01-12 03:14:44.925000,2012-04-02 16:40:28.624000,bill,Commerce|Education
ms,2008,lower,HB 103,Honey; exempt infrequent casual sellers of from food establishment permit and fee requirements.,2011-01-12 03:14:40.699000,2012-04-02 16:40:21.082000,bill,Agriculture and Food|Health
ms,2008,lower,HB 1030,Commission on Environmental Quality; revise rule to implement National Energy Act of 2005.,2011-01-12 03:14:44.930000,2012-04-02 16:40:28.649000,bill,Environmental
ms,2008,lower,HB 1031,Teach for America; authorize SDE to award grants to bring new teachers to Mississippi high need districts.,2011-01-12 03:14:44.957000,2012-04-02 16:40:28.659000,bill,Commerce|Education
ms,2008,lower,HB 1032,Election crimes; require to be prosecuted.,2011-01-12 03:14:44.960000,2012-04-02 16:40:28.669000,bill,Judiciary
ms,2008,lower,HB 1033,"Charitable bingo; increase max compensation allowed to employees per session, certain rules and regulations may be no more restrictive than law.",2011-01-12 03:14:44.966000,2012-04-02 16:40:28.678000,bill,"Budget, Spending, and Taxes|Gambling and Gaming"
ms,2008,lower,HB 1034,Lobbying law; exempt certain individuals from definition of lobbyist and allow notice of late filing by email or fax.,2011-01-12 03:14:44.968000,2012-04-02 16:40:28.688000,bill,Judiciary
ms,2008,lower,HB 1035,"Alcoholic beverages; clarify that ""person"" under Local Option Alcoholic Beverage Control Law includes limited liability company.",2011-01-12 03:14:44.973000,2012-04-02 16:40:28.697000,bill,"State Agencies|Budget, Spending, and Taxes"
ms,2008,lower,HB 1036,Security freeze; authorize consumers to place on their credit reports.,2011-01-12 03:14:44.976000,2012-04-02 16:40:28.704000,bill,Business and Consumers
ms,2008,lower,HB 1037,Mississippi Community and Junior College Transfer Grant Program; create.,2011-01-12 03:14:44.978000,2012-04-02 16:40:28.710000,bill,Commerce|Education
ms,2008,lower,HB 1038,Oil and gas; simplify way fees paid for recording certain instruments relating to nonproducing instruments.,2011-01-12 03:14:44.983000,2012-04-02 16:40:28.718000,bill,"Energy|Budget, Spending, and Taxes"
ms,2008,lower,HB 1039,Vaccinations; exempt certain children with autism from vaccination requirement to attend school.,2011-01-12 03:14:44.987000,2012-04-02 16:40:28.754000,bill,Education|Health
ms,2008,lower,HB 104,Mental health; modernize terminology used to refer to persons with mental illness/retardation.,2011-01-12 03:14:40.727000,2012-04-02 16:40:21.094000,bill,Commerce|Health
ms,2008,lower,HB 1040,Mississippi Skill Standards Board; create as advisory board on industry standards.,2011-01-12 03:14:44.992000,2012-04-02 16:40:28.761000,bill,Labor and Employment|Education
ms,2008,lower,HB 1041,Pre-kindergarten programs; require Delta school districts with Level 1 or 2 elementary schools to provide.,2011-01-12 03:14:44.995000,2012-04-02 16:40:28.767000,bill,Commerce|Education
ms,2008,lower,HB 1042,Long-term care policies; must provide offer to purchase nonforfeiture benefit.,2011-01-12 03:14:44.997000,2012-04-02 16:40:28.774000,bill,Insurance
ms,2008,lower,HB 1043,Gaming; create state lottery to fund higher education.,2011-01-12 03:14:44.999000,2012-04-02 16:40:28.780000,bill,State Agencies|Gambling and Gaming
ms,2008,lower,HB 1044,Sales under execution; reduce time period during which those sales may be held.,2011-01-12 03:14:45.001000,2012-04-02 16:40:28.786000,bill,Judiciary
ms,2008,lower,HB 1045,Sidearm; allow district attorneys and certain staff to retain upon retirement.,2011-01-12 03:14:45.003000,2012-04-02 16:40:28.852000,bill,Commerce|Judiciary
ms,2008,lower,HB 1046,Abortion Complication Reporting Act; require certain professionals to report treatment for emotional trauma.,2011-01-12 03:14:45.005000,2012-04-02 16:40:28.870000,bill,Health
ms,2008,lower,HB 1047,Mississippi Justice Information Center; revise manner of certifying and authenticating certain documents.,2011-01-12 03:14:45.008000,2012-04-02 16:40:28.877000,bill,Judiciary
ms,2008,lower,HB 1048,"State parks; Wildlife, Fisheries and Parks may lease certain lands for commercial/residential development.",2011-01-12 03:14:45.010000,2012-04-02 16:40:28.898000,bill,Animal Rights and Wildlife Issues
ms,2008,lower,HB 1049,Chancery court; create new district comprised of DeSoto County.,2011-01-12 03:14:45.012000,2012-04-02 16:40:28.904000,bill,Commerce|Judiciary
ms,2008,lower,HB 105,Government motor vehicles; exempt from annual license registration fees and tag decals.,2011-01-12 03:14:40.732000,2012-04-02 16:40:21.123000,bill,"State Agencies|Budget, Spending, and Taxes"
ms,2008,lower,HB 1050,Mississippi Public Judicial Campaign Finance Reform Act; create.,2011-01-12 03:14:45.015000,2012-04-02 16:40:28.910000,bill,Campaign Finance and Election Issues|Judiciary
ms,2008,lower,HB 1051,Insurance premium tax; change due date for report and payment of tax for the October 1 through December 31 period.,2011-01-12 03:14:45.019000,2012-04-02 16:40:28.919000,bill,State Agencies|Insurance
ms,2008,lower,HB 1052,Salaries of certain judges; increase.,2011-01-12 03:14:45.022000,2012-04-02 16:40:28.930000,bill,State Agencies
ms,2008,lower,HB 1053,Bonds; remove language requiring the Department of Health to deposit money into a sinking fund to pay on public health lab bonds.,2011-01-12 03:14:45.028000,2012-04-02 16:40:28.940000,bill,"State Agencies|Budget, Spending, and Taxes"
ms,2008,lower,HB 1054,District attorneys; provide additional assistant for the Twelfth Circuit Court District.,2011-01-12 03:14:45.031000,2012-04-02 16:40:28.947000,bill,Commerce|Judiciary
ms,2008,lower,HB 1055,Fuel tax law; clarify with regard to biodiesel and biofuel.,2011-01-12 03:14:45.033000,2012-04-02 16:40:28.954000,bill,State Agencies
ms,2008,lower,HB 1056,Alcoholic beverages; revise definition of qualified resort area for purpose of selling at certain game reserves.,2011-01-12 03:14:45.040000,2012-04-02 16:40:28.968000,bill,"State Agencies|Budget, Spending, and Taxes"
ms,2008,lower,HB 1057,Child Accounts Program; establish.,2011-01-12 03:14:45.043000,2012-04-02 16:40:28.975000,bill,State Agencies
ms,2008,lower,HB 1058,Twelfth Circuit Court Community Corrections Act of 2008; create.,2011-01-12 03:14:45.045000,2012-04-02 16:40:28.981000,bill,Judiciary|Crime
ms,2008,lower,HB 1059,Education Enhancement Fund; portion of money in shall be used to support Public School Building Fund.,2011-01-12 03:14:45.047000,2012-04-02 16:40:28.987000,bill,Commerce|Education
ms,2008,lower,HB 106,Unauthorized Substance Tax Act; create.,2011-01-12 03:14:40.735000,2012-04-02 16:40:21.195000,bill,State Agencies
ms,2008,lower,HB 1060,Appellate judges; provide for appointed Supreme Court and Court of Appeals.,2011-01-12 03:14:45.049000,2012-04-02 16:40:28.993000,bill,Campaign Finance and Election Issues|Judiciary
ms,2008,lower,HB 1061,Campaign signs; provide penalty for not removing.,2011-01-12 03:14:45.072000,2012-04-02 16:40:28.999000,bill,Campaign Finance and Election Issues
ms,2008,lower,HB 1062,CON; Department of Health to issue to nonprofit psychiatric residential treatment facility in Hinds County.,2011-01-12 03:14:45.074000,2012-04-02 16:40:29.005000,bill,Commerce|Health
ms,2008,lower,HB 1063,Bonds; delete requirement that certain fees are dedicated to paying principal and interest on public health lab bonds.,2011-01-12 03:14:45.077000,2012-04-02 16:40:29.011000,bill,State Agencies|Health
ms,2008,lower,HB 1064,Child Death Review Panel; Health Department shall provide administrative support for.,2011-01-12 03:14:45.083000,2012-04-02 16:40:29.023000,bill,Health
ms,2008,lower,HB 1065,CON law; revise various provisions of.,2011-01-12 03:14:45.086000,2012-04-02 16:40:29.031000,bill,Health
ms,2008,lower,HB 1066,Boiler and pressure vessel inspection certificate; increase fee for.,2011-01-12 03:14:45.098000,2012-04-02 16:40:29.055000,bill,Labor and Employment|State Agencies|Health
ms,2008,lower,HB 1067,Child residential home employees; Health Department may obtain background checks on.,2011-01-12 03:14:45.101000,2012-04-02 16:40:29.065000,bill,Health
ms,2008,lower,HB 1068,Speech-Language Pathology Council of Advisors; clarify membership of.,2011-01-12 03:14:45.103000,2012-04-02 16:40:29.071000,bill,Health
ms,2008,lower,HB 1069,CON; Department of Health to issue for Alzheimer patient bed in Lee County.,2011-01-12 03:14:45.105000,2012-04-02 16:40:29.077000,bill,Health
ms,2008,lower,HB 107,Bonds; authorize issuance for construction of stadium on campus of Jackson State University.,2011-01-12 03:14:40.738000,2012-04-02 16:40:21.201000,bill,State Agencies
ms,2008,lower,HB 1070,Controlled Substances Law; revise schedules to conform to federal law.,2011-01-12 03:14:45.110000,2012-04-02 16:40:29.087000,bill,Health|Judiciary
ms,2008,lower,HB 1071,Mississippi Individual on-Site Wastewater Disposal System Law; extend repealer.,2011-01-12 03:14:45.112000,2012-04-02 16:40:29.098000,bill,Health
ms,2008,lower,HB 1072,Children adopted through state-supported adoption agency; provide for continuation of Medicaid benefits.,2011-01-12 03:14:45.118000,2012-04-02 16:40:29.107000,bill,Commerce|Health
ms,2008,lower,HB 1073,CON; allow continuing care retirement community to convert non-Medicaid beds to Medicaid beds.,2011-01-12 03:14:45.121000,2012-04-02 16:40:29.117000,bill,Health
ms,2008,lower,HB 1074,Prohibition against possession of weapons by students; include juvenile training schools under statute.,2011-01-12 03:14:45.123000,2012-04-02 16:40:29.123000,bill,Judiciary|Family and Children Issues|Crime
ms,2008,lower,HB 1075,Uniform laws; enact Revised Uniform Anatomical Gift Act.,2011-01-12 03:14:45.157000,2012-04-02 16:40:29.138000,bill,Commerce|Health|Judiciary
ms,2008,lower,HB 1076,Center of Excellence for Children; extend repealer.,2011-01-12 03:14:45.163000,2012-04-02 16:40:29.155000,bill,Health
ms,2008,lower,HB 1077,TANF funds; DHS shall transfer unspent funds remaining from the prior fiscal year to Child Care and Development Fund.,2011-01-12 03:14:45.170000,2012-04-02 16:40:29.168000,bill,Commerce|Health
ms,2008,lower,HB 1078,Physical therapists; allow patient referral by physician assistants and extend repealer on certain sections.,2011-01-12 03:14:45.173000,2012-04-02 16:40:29.176000,bill,Health
ms,2008,lower,HB 1079,TANF assistance program; clarify exemption from work requirements and authorize State Diversionary Work Program.,2011-01-12 03:14:45.176000,2012-04-02 16:40:29.182000,bill,Health
ms,2008,lower,HB 108,Bonds; authorize issuance for construction of Vicksburg Higher Education Center for Alcorn State University.,2011-01-12 03:14:40.741000,2012-04-02 16:40:21.209000,bill,State Agencies
ms,2008,lower,HB 1080,Old Farmer's Market; Department of Finance and Administration to convey to University of Mississippi Medical Center.,2011-01-12 03:14:45.181000,2012-04-02 16:40:29.191000,bill,Housing and Property|Commerce
ms,2008,lower,HB 1081,Toll roads and bridges; revise laws providing for.,2011-01-12 03:14:45.189000,2012-04-02 16:40:29.203000,bill,Transportation
ms,2008,lower,HB 1082,Licensed concealed weapons; allow to carry in places of worship.,2011-01-12 03:14:45.191000,2012-04-02 16:40:29.210000,bill,Judiciary
ms,2008,lower,HB 1083,"Sales tax, liability; limit liability if previous State Tax Commission audits determined taxpayer in compliance with law.",2011-01-12 03:14:45.194000,2012-04-02 16:40:29.217000,bill,State Agencies
ms,2008,lower,HB 1084,All-terrain vehicles; establish ownership registration network and provide free safety course.,2011-01-12 03:14:45.197000,2012-04-02 16:40:29.223000,bill,State Agencies
ms,2008,lower,HB 1085,Hospitality station; MDOT construct on U.S. Highway 61 in Wilkinson County.,2011-01-12 03:14:45.199000,2012-04-02 16:40:29.229000,bill,Commerce|Transportation
ms,2008,lower,HB 1086,Adult foster care facilities; must perform background checks on employees.,2011-01-12 03:14:45.207000,2012-04-02 16:40:29.240000,bill,Health
ms,2008,lower,HB 1087,Crimes; remove repealer on crime of conducting fight between canine and hog.,2011-01-12 03:14:45.209000,2012-04-02 16:40:29.248000,bill,Agriculture and Food|Judiciary
ms,2008,lower,HB 1088,"Marriage; remove waiting period, revise age requirements, revise blood test provisions.",2011-01-12 03:14:45.217000,2012-04-02 16:40:29.260000,bill,Recreation|Judiciary
ms,2008,lower,HB 1089,Deer hunting; extend deer season if baiting not allowed.,2011-01-12 03:14:45.229000,2012-04-02 16:40:29.272000,bill,Animal Rights and Wildlife Issues
ms,2008,lower,HB 109,DUI; revise minimum penalty for death and maiming.,2011-01-12 03:14:40.744000,2012-04-02 16:40:21.215000,bill,Judiciary
ms,2008,lower,HB 1090,Smoking by inmates; prohibit.,2011-01-12 03:14:45.233000,2012-04-02 16:40:29.281000,bill,Crime
ms,2008,lower,HB 1091,Schools of nursing in Mississippi; IHL conduct study for utilization of clinical simulation laboratories for schools.,2011-01-12 03:14:45.238000,2012-04-02 16:40:29.291000,bill,Commerce|Education
ms,2008,lower,HB 1092,Motorcycle Operator Safety Program; establish.,2011-01-12 03:14:45.241000,2012-04-02 16:40:29.299000,bill,Transportation
ms,2008,lower,HB 1093,Small loan lenders; provide for alternate charges for certain loans.,2011-01-12 03:14:45.243000,2012-04-02 16:40:29.305000,bill,Business and Consumers
ms,2008,lower,HB 1094,Distinctive license tag; authorize issuance for supporters of early childhood development.,2011-01-12 03:14:45.245000,2012-04-02 16:40:29.311000,bill,State Agencies
ms,2008,lower,HB 1095,Flexible office hours for certain state agencies; authorize.,2011-01-12 03:14:45.248000,2012-04-02 16:40:29.317000,bill,Commerce
ms,2008,lower,HB 1096,Tobacco sales; prohibit selling to retailer on credit.,2011-01-12 03:14:45.250000,2012-04-02 16:40:29.324000,bill,State Agencies
ms,2008,lower,HB 1097,Judge; require felony conviction orders to inform as to status as a qualified elector.,2011-01-12 03:14:45.252000,2012-04-02 16:40:29.330000,bill,Judiciary
ms,2008,lower,HB 1098,Sex offenders; prohibit from using computers.,2011-01-12 03:14:45.254000,2012-04-02 16:40:29.337000,bill,Judiciary
ms,2008,lower,HB 1099,MS Major Economic Impact Act; authorize counties/cities to agree to ad valorem exemptions for certain suppliers in advance.,2011-01-12 03:14:45.269000,2012-04-02 16:40:29.345000,bill,"State Agencies|Budget, Spending, and Taxes"
ms,2008,lower,HB 11,"Truck weights; increase maximum gross vehicle weight on highways to 88,000 pounds.",2011-01-12 03:14:40.283000,2012-04-02 16:40:20.288000,bill,Transportation
ms,2008,lower,HB 110,School boards; require members to have completed a minimum number of college hours or associate degree.,2011-01-12 03:14:40.746000,2012-04-02 16:40:21.222000,bill,Education
ms,2008,lower,HB 1100,"Radar; allow Highway Patrol to use in cities over 15,000; designate court where case heard and fines paid.",2011-01-12 03:14:45.271000,2012-04-02 16:40:29.355000,bill,Transportation
ms,2008,lower,HB 1101,Operation and use privileges for regional and municipal airports; remove automatic repealers on.,2011-01-12 03:14:45.277000,2012-04-02 16:40:29.363000,bill,Transportation
ms,2008,lower,HB 1102,Mississippi for Educational Television; authorize certain contracts with private companies.,2011-01-12 03:14:45.279000,2012-04-02 16:40:29.372000,bill,Commerce
ms,2008,lower,HB 1103,MDOT; authorize to transfer certain real property to the City of Sallis.,2011-01-12 03:14:45.284000,2012-04-02 16:40:29.383000,bill,Housing and Property|Transportation
ms,2008,lower,HB 1104,Oversize vehicle permits; increase fee for issuance and abolish extended use permits.,2011-01-12 03:14:45.287000,2012-04-02 16:40:29.390000,bill,Transportation
ms,2008,lower,HB 1105,Implied consent; clarify.,2011-01-12 03:14:45.294000,2012-04-02 16:40:29.399000,bill,Judiciary
ms,2008,lower,HB 1106,State crime lab; revise funding.,2011-01-12 03:14:45.306000,2012-04-02 16:40:29.406000,bill,Commerce
ms,2008,lower,HB 1107,Due process policy; require municipalities to adopt.,2011-01-12 03:14:45.308000,2012-04-02 16:40:29.412000,bill,Municipal and County Issues
ms,2008,lower,HB 1108,Obstruction of justice; expand scope to include bribing a judge (AG).,2011-01-12 03:14:45.315000,2012-04-02 16:40:29.421000,bill,Judiciary
ms,2008,lower,HB 1109,Crimes; create offense regarding throwing objects from an overpass and striking a motor vehicle.,2011-01-12 03:14:45.318000,2012-04-02 16:40:29.432000,bill,Judiciary
ms,2008,lower,HB 111,Antlerless deer; delete prohibition against nonresident killing.,2011-01-12 03:14:40.748000,2012-04-02 16:40:21.228000,bill,Animal Rights and Wildlife Issues
ms,2008,lower,HB 1110,"Growth and Prosperity Act; reenact application provisions and remove July 1, 2008, repeal date.",2011-01-12 03:14:45.323000,2012-04-02 16:40:29.440000,bill,"State Agencies|Budget, Spending, and Taxes"
ms,2008,lower,HB 1111,Child Care Provider's Grant Program; authorize Department of Human Services to establish.,2011-01-12 03:14:45.329000,2012-04-02 16:40:29.453000,bill,Commerce|Health
ms,2008,lower,HB 1112,Immunosuppressive drugs; generic drugs not to be used unless approved by physician.,2011-01-12 03:14:45.332000,2012-04-02 16:40:29.472000,bill,Health
ms,2008,lower,HB 1113,Distinctive license tag; authorize for supporters of Rankin County Public School District.,2011-01-12 03:14:45.334000,2012-04-02 16:40:29.481000,bill,Health
ms,2008,lower,HB 1114,Alcoholic beverages and beer; require separate election to allow sale of when a wet city annexes a portion of a dry county.,2011-01-12 03:14:45.347000,2012-04-02 16:40:29.487000,bill,State Agencies
ms,2008,lower,HB 1115,False reporting of a crime; include law enforcement.,2011-01-12 03:14:45.352000,2012-04-02 16:40:29.506000,bill,Judiciary
ms,2008,lower,HB 1116,Correctional regional facility; authorize Department of Corrections to contract with DeSoto County for.,2011-01-12 03:14:45.354000,2012-04-02 16:40:29.513000,bill,Commerce|Crime
ms,2008,lower,HB 1117,Attorneys; exempt from certain CLE requirement for those who serve in Legislature.,2011-01-12 03:14:45.359000,2012-04-02 16:40:29.523000,bill,Judiciary
ms,2008,lower,HB 1118,Physical education; increase minimum requirements for public high school students.,2011-01-12 03:14:45.362000,2012-04-02 16:40:29.532000,bill,Education
ms,2008,lower,HB 1119,Abandonment of trial and appeals; provide for dismissal.,2011-01-12 03:14:45.364000,2012-04-02 16:40:29.539000,bill,Judiciary
ms,2008,lower,HB 112,Hunting license; increase fee for purpose of processing unwanted deer venison donated by hunters.,2011-01-12 03:14:40.750000,2012-04-02 16:40:21.234000,bill,Animal Rights and Wildlife Issues
ms,2008,lower,HB 1120,Criminal information; provide immediate access from Mississippi Justice Information Center.,2011-01-12 03:14:45.367000,2012-04-02 16:40:29.545000,bill,Judiciary
ms,2008,lower,HB 1121,Retirement; first responders who served in Coast counties during Hurricane Katrina shall receive extra PERS credit.,2011-01-12 03:14:45.369000,2012-04-02 16:40:29.552000,bill,Commerce
ms,2008,lower,HB 1122,Income tax; increase credit allowed for child adoption expenses.,2011-01-12 03:14:45.371000,2012-04-02 16:40:29.558000,bill,State Agencies
ms,2008,lower,HB 1123,Tanning facilities; restrict use of by children under 18.,2011-01-12 03:14:45.374000,2012-04-02 16:40:29.565000,bill,Health
ms,2008,lower,HB 1124,Crimes; felony for illegal alien to possess firearm and enhanced penalty for illegal alien to commit crime with firearm.,2011-01-12 03:14:45.388000,2012-04-02 16:40:29.572000,bill,Judiciary
ms,2008,lower,HB 1125,Metal theft; clarify offense.,2011-01-12 03:14:45.393000,2012-04-02 16:40:29.579000,bill,Judiciary
ms,2008,lower,HB 1126,Retirement; prohibit PERS from holding equity investments in companies with business ties in certain countries.,2011-01-12 03:14:45.396000,2012-04-02 16:40:29.586000,bill,Commerce
ms,2008,lower,HB 1127,Government-issued photo identification for which proof of citizenship is required; provide before voting in person or by absentee.,2011-01-12 03:14:45.402000,2012-04-02 16:40:29.597000,bill,Campaign Finance and Election Issues
ms,2008,lower,HB 1128,Alcoholic beverages; authorize certain municipalities in dry counties to vote to come out from under the dry law.,2011-01-12 03:14:45.404000,2012-04-02 16:40:29.609000,bill,State Agencies
ms,2008,lower,HB 1129,Public Records Act; revise certain provisions to allow free and open examination of public records.,2011-01-12 03:14:45.407000,2012-04-02 16:40:29.616000,bill,Judiciary
ms,2008,lower,HB 113,Election; require voter ID.,2011-01-12 03:14:40.752000,2012-04-02 16:40:21.240000,bill,Campaign Finance and Election Issues
ms,2008,lower,HB 1130,"Baxterville Tree Nursery; authorize Forestry Commission to transfer to Department of Wildlife, Fisheries and Parks.",2011-01-12 03:14:45.409000,2012-04-02 16:40:29.623000,bill,Environmental
ms,2008,lower,HB 1131,"AR-15 rifles; authorize Department of Wildlife, Fisheries and Parks to purchase.",2011-01-12 03:14:45.411000,2012-04-02 16:40:29.629000,bill,Animal Rights and Wildlife Issues
ms,2008,lower,HB 1132,Internet in schools; require State Board of Education to adopt safety and usage policy.,2011-01-12 03:14:45.414000,2012-04-02 16:40:29.635000,bill,Education
ms,2008,lower,HB 1133,Mandatory Reporting of Sexual Crimes Against Minors Act; create.,2011-01-12 03:14:45.416000,2012-04-02 16:40:29.641000,bill,Judiciary
ms,2008,lower,HB 1134,Probable cause hearing; provide for payment of costs when probable cause not found.,2011-01-12 03:14:45.421000,2012-04-02 16:40:29.651000,bill,Judiciary
ms,2008,lower,HB 1135,Cell Phone Consumer Protection Act of 2008; create.,2011-01-12 03:14:45.424000,2012-04-02 16:40:29.659000,bill,Public Services
ms,2008,lower,HB 1136,Crimes; revise offense regarding metal theft.,2011-01-12 03:14:45.446000,2012-04-02 16:40:29.670000,bill,Judiciary
ms,2008,lower,HB 1137,Divorce; clarify property and assets of a spouse.,2011-01-12 03:14:45.458000,2012-04-02 16:40:29.689000,bill,Judiciary
ms,2008,lower,HB 1138,DNA; require sampling upon all felony arrests (Katie's Law).,2011-01-12 03:14:45.462000,2012-04-02 16:40:29.706000,bill,Judiciary
ms,2008,lower,HB 1139,Driver's license; birth certificate of foreign born applicant may be translated by any university or four-year college in state.,2011-01-12 03:14:45.465000,2012-04-02 16:40:29.712000,bill,Transportation
ms,2008,lower,HB 114,Mississippi Rice Promotion Fund; extend repealer on assessments on rice grown in state and special fund in Treasury.,2011-01-12 03:14:40.759000,2012-04-02 16:40:21.248000,bill,Agriculture and Food
ms,2008,lower,HB 1140,Income tax; exclude premiums paid for health insurance from gross income.,2011-01-12 03:14:45.479000,2012-04-02 16:40:29.720000,bill,State Agencies
ms,2008,lower,HB 1141,Driving while texting; prohibit.,2011-01-12 03:14:45.482000,2012-04-02 16:40:29.727000,bill,Transportation
ms,2008,lower,HB 1142,Amplified sound; prohibit excessive noise in motor vehicles.,2011-01-12 03:14:45.484000,2012-04-02 16:40:29.733000,bill,Transportation
